"","SA","cancer","gene"
"110",0.238413218548307,"BLCA","ENSG00000129473.9"
"111",0.00491898922140195,"BLCA","ENSG00000103197.16"
"112",0,"BLCA","ENSG00000162458.12"
"113",2.32036437176915e-05,"BLCA","ENSG00000172661.17"
"114",0.18371062747744,"BLCA","ENSG00000108175.16"
"115",0.055248419009797,"BLCA","ENSG00000214940.8-ENSG00000233024.7"
"116",0.004077619315854,"BLCA","ENSG00000144824.20"
"117",0,"BLCA","ENSG00000059122.16"
"118",0.111094483209024,"BLCA","ENSG00000183889.12-ENSG00000214967.5"
"119",0,"BLCA","ENSG00000167700.8-ENSG00000160959.7"
"120",0,"BLCA","ENSG00000107758.15"
"121",0.279485468796416,"BLCA","ENSG00000003402.19"
"122",0,"BLCA","ENSG00000197614.10"
"123",0,"BLCA","ENSG00000147853.16"
"124",0,"BLCA","ENSG00000136560.13"
"125",0.00012716241425003,"BLCA","ENSG00000124343.12"
"126",0.0424806055487165,"BLCA","ENSG00000131462.7-ENSG00000037042.8"
"127",0.0620664043952803,"BLCA","ENSG00000037042.8"
"128",0.0139993413994649,"BLCA","ENSG00000106125.14"
"129",0.01304917498733,"BLCA","ENSG00000132613.14"
"130",0.437605059349603,"BLCA","ENSG00000175938.6"
"131",0,"BLCA","ENSG00000120549.17"
"132",0,"BLCA","ENSG00000111554.14"
"133",0.00254795947649283,"BLCA","ENSG00000047457.13"
"134",0,"BLCA","ENSG00000182979.17"
"135",0,"BLCA","ENSG00000226174.6"
"136",0.0122646274974592,"BLCA","ENSG00000155329.11"
"137",0,"BLCA","ENSG00000100307.12"
"138",0.0444169490366421,"BLCA","ENSG00000172889.15"
"139",0.0115329386919119,"BLCA","ENSG00000040933.15"
"140",0.0216492266260151,"BLCA","ENSG00000173818.16"
"141",0.00462055311997074,"BLCA","ENSG00000083223.17"
"142",0.00518574613371746,"BLCA","ENSG00000219626.8"
"143",0,"BLCA","ENSG00000174748.18"
"144",0,"BLCA","ENSG00000108691.9-ENSG00000108688.11"
"145",0,"BLCA","ENSG00000108691.9-ENSG00000172156.3"
"146",0,"BLCA","ENSG00000108688.11-ENSG00000172156.3"
"147",0,"BLCA","ENSG00000172156.3-ENSG00000108700.4"
"148",0.000624944670141571,"BLCA","ENSG00000132153.14"
"149",0,"BLCA","ENSG00000251503.8"
"150",0,"BLCA","ENSG00000175279.21-ENSG00000241563.3"
"151",0.3292005884264,"BLCA","ENSG00000105552.14"
"152",0.00563309196542904,"BLCA","ENSG00000011451.17"
"153",0.0160764385438638,"BLCA","ENSG00000164402.13"
"154",0.0511518340376104,"BLCA","ENSG00000135486.17"
"155",0.000562521222560549,"BLCA","ENSG00000148362.10"
"156",0.00795281147110173,"BLCA","ENSG00000134198.9"
"157",0.296950656539698,"BLCA","ENSG00000178038.16"
"158",0,"BLCA","ENSG00000204577.11-ENSG00000244482.10"
"159",0.0925780212479592,"BLCA","ENSG00000204577.11-ENSG00000105609.16"
"160",0.0295626151550686,"BLCA","ENSG00000244482.10-ENSG00000105609.16"
"161",0,"BLCA","ENSG00000119487.16"
"162",0.0114241316399608,"BLCA","ENSG00000147526.19"
"163",0.0047012093921894,"BLCA","ENSG00000143537.13"
"164",0,"BLCA","ENSG00000105767.2-ENSG00000011422.11"
"165",0.137610865005388,"BLCA","ENSG00000267060.5"
"166",0,"BLCA","ENSG00000137210.13"
"167",0,"BLCA","ENSG00000272162.1"
"168",0.244613077232476,"BLCA","ENSG00000158887.15"
