TCGA_subtype,immune_cell_type,tau,pvalue
KICH,T.cells.CD4.memory.resting,0.0765559,0.691822511
KICH,T.cells.CD4.memory.activated,NA,NA
KICH,T.cells.follicular.helper,0.00952381,1
KICH,T.cells.regulatory..Tregs.,0.049040824,0.802506743
KICH,T.cells.gamma.delta,-0.220820979,0.305034323
KICH,NK.cells.resting,-0.23028804,0.24516656
KICH,NK.cells.activated,-0.095694875,0.620262226
KICH,Monocytes,0.00952381,1
KICH,Macrophages.M0,0.063887656,0.753152365
KICH,Macrophages.M1,0.085714286,0.697181425
KICH,Macrophages.M2,-0.257142857,0.201842824
KICH,Dendritic.cells.resting,0.13146844,0.553640655
KICH,Dendritic.cells.activated,-0.015626908,0.94300827
KICH,Mast.cells.resting,0.096628506,0.619112464
KICH,Mast.cells.activated,0.171895985,0.431642986
KICH,Eosinophils,0.244155674,0.271327395
KICH,Neutrophils,0.441641958,0.040228549
KIRC,B.cells.naive,-0.025085213,0.487992542
KIRC,B.cells.memory,-0.015455857,0.701404917
KIRC,Plasma.cells,-0.061668125,0.082997307
KIRC,T.cells.CD8,-0.037410983,0.292055856
KIRC,T.cells.CD4.naive,0.016357554,0.705827856
KIRC,T.cells.CD4.memory.resting,0.072175084,0.042572502
KIRC,T.cells.CD4.memory.activated,-0.079153254,0.063219632
KIRC,T.cells.follicular.helper,-0.036495276,0.307344653
KIRC,T.cells.regulatory..Tregs.,-0.015056491,0.675153153
KIRC,T.cells.gamma.delta,-0.002401531,0.95395681
KIRC,NK.cells.resting,0.006651788,0.866897272
KIRC,NK.cells.activated,0.021131532,0.553435346
KIRC,Monocytes,0.014689123,0.679161658
KIRC,Macrophages.M0,-0.032319048,0.424336879
KIRC,Macrophages.M1,0.010397462,0.76965856
KIRC,Macrophages.M2,0.044753917,0.207516197
KIRC,Dendritic.cells.resting,0.044864112,0.263686002
KIRC,Dendritic.cells.activated,-0.015183586,0.709588676
KIRC,Mast.cells.resting,-0.011762801,0.745690631
KIRC,Mast.cells.activated,0.061721767,0.127613439
KIRC,Eosinophils,0.008445541,0.844405923
KIRC,Neutrophils,0.053854738,0.151416389
KIRP,B.cells.naive,0.075581556,0.18157707
KIRP,B.cells.memory,-0.039369326,0.453921469
KIRP,Plasma.cells,-0.053545956,0.305263561
KIRP,T.cells.CD8,0.020675252,0.68898325
KIRP,T.cells.CD4.naive,0.043177336,0.492433079
KIRP,T.cells.CD4.memory.resting,-0.020416705,0.692940081
KIRP,T.cells.CD4.memory.activated,0.03739106,0.551046365
KIRP,T.cells.follicular.helper,-0.022200899,0.672002604
KIRP,T.cells.regulatory..Tregs.,-0.064077421,0.219218653
KIRP,T.cells.gamma.delta,0.084136644,0.170224923
KIRP,NK.cells.resting,-0.005238063,0.930635595
KIRP,NK.cells.activated,-0.056833775,0.274024171
KIRP,Monocytes,-0.055476356,0.284445535
KIRP,Macrophages.M0,0.030266429,0.580830509
KIRP,Macrophages.M1,0.079278367,0.130231169
KIRP,Macrophages.M2,0.052975983,0.305118546
KIRP,Dendritic.cells.resting,0.018396196,0.754946859
KIRP,Dendritic.cells.activated,-0.094462279,0.105878075
KIRP,Mast.cells.resting,-0.036522142,0.482889604
KIRP,Mast.cells.activated,-0.048049245,0.427342863
KIRP,Eosinophils,0.02454273,0.695130561
KIRP,Neutrophils,0.025762588,0.641025268
LIHC,B.cells.naive,0.011325371,0.907281493
LIHC,B.cells.memory,-0.01969143,0.845463801
LIHC,Plasma.cells,0.076615522,0.420187495
LIHC,T.cells.CD8,-0.136429608,0.149276386
LIHC,T.cells.CD4.naive,0.119542875,0.295582862
LIHC,T.cells.CD4.memory.resting,-0.065915185,0.492693653
LIHC,T.cells.CD4.memory.activated,0.134024935,0.225771394
LIHC,T.cells.follicular.helper,-0.242380261,0.01040669
LIHC,T.cells.regulatory..Tregs.,-0.194484761,0.039806779
LIHC,T.cells.gamma.delta,0.071115271,0.520390775
LIHC,NK.cells.resting,0.136468432,0.226011589
LIHC,NK.cells.activated,-0.018909136,0.841880135
LIHC,Monocytes,0.091636582,0.333666485
LIHC,Macrophages.M0,0.032874291,0.733697857
LIHC,Macrophages.M1,-0.156748911,0.097545396
LIHC,Macrophages.M2,0.047895501,0.612669658
LIHC,Dendritic.cells.resting,-0.089881875,0.367716844
LIHC,Dendritic.cells.activated,-0.040889955,0.71552497
LIHC,Mast.cells.resting,0.061770116,0.518220986
LIHC,Mast.cells.activated,0.067531279,0.535953282
LIHC,Eosinophils,0.164371454,0.150381573
LIHC,Neutrophils,0.022288457,0.829846884
LUAD,B.cells.naive,-0.016655288,0.614546588
LUAD,B.cells.memory,-0.027631533,0.455547639
LUAD,Plasma.cells,-0.0129412,0.694972243
LUAD,T.cells.CD8,-0.044023932,0.182008778
LUAD,T.cells.CD4.naive,-0.011208886,0.780645358
LUAD,T.cells.CD4.memory.resting,0.019900916,0.54755991
LUAD,T.cells.CD4.memory.activated,-0.022884113,0.538567371
LUAD,T.cells.follicular.helper,-0.040162942,0.223799148
LUAD,T.cells.regulatory..Tregs.,-0.008218254,0.807068846
LUAD,T.cells.gamma.delta,-0.041905317,0.291070822
LUAD,NK.cells.resting,0.036972938,0.315110235
LUAD,NK.cells.activated,-0.068243568,0.04117649
LUAD,Monocytes,0.079571065,0.016578405
LUAD,Macrophages.M0,0.003401612,0.919973987
LUAD,Macrophages.M1,-0.052356723,0.114234937
LUAD,Macrophages.M2,0.082158127,0.012743489
LUAD,Dendritic.cells.resting,0.000356065,0.991785777
LUAD,Dendritic.cells.activated,-0.034499002,0.314416829
LUAD,Mast.cells.resting,-0.028832005,0.387889605
LUAD,Mast.cells.activated,0.023141438,0.541004477
LUAD,Eosinophils,-0.014249758,0.720076709
LUAD,Neutrophils,0.057822999,0.096979591
LUSC,B.cells.naive,0.016466969,0.637928953
LUSC,B.cells.memory,-0.088232761,0.026977268
LUSC,Plasma.cells,-0.095231817,0.006249756
LUSC,T.cells.CD8,0.022310115,0.521727919
LUSC,T.cells.CD4.naive,-0.048301519,0.248418985
LUSC,T.cells.CD4.memory.resting,0.02334752,0.508429391
LUSC,T.cells.CD4.memory.activated,0.012025252,0.75355774
LUSC,T.cells.follicular.helper,-0.012942153,0.71058212
LUSC,T.cells.regulatory..Tregs.,0.019296109,0.594008314
LUSC,T.cells.gamma.delta,-0.065375641,0.122515568
LUSC,NK.cells.resting,-0.008713177,0.811129115
LUSC,NK.cells.activated,-0.034090893,0.353702071
LUSC,Monocytes,0.032672751,0.360678722
LUSC,Macrophages.M0,-0.009173004,0.793683286
LUSC,Macrophages.M1,0.057476466,0.099516971
LUSC,Macrophages.M2,0.070826924,0.041956506
LUSC,Dendritic.cells.resting,0.087187953,0.018036553
LUSC,Dendritic.cells.activated,0.028295098,0.436191266
LUSC,Mast.cells.resting,0.022427809,0.536889939
LUSC,Mast.cells.activated,-0.029088211,0.442211154
LUSC,Eosinophils,0.01761025,0.672847709
LUSC,Neutrophils,0.034754064,0.345565118
PRAD,B.cells.naive,-0.06482175,0.207337901
PRAD,B.cells.memory,0.123153783,0.031158199
PRAD,Plasma.cells,-0.101879573,0.046709356
PRAD,T.cells.CD8,0.052157548,0.308333344
PRAD,T.cells.CD4.naive,0.087206105,0.161899433
PRAD,T.cells.CD4.memory.resting,-0.038920445,0.447189977
PRAD,T.cells.CD4.memory.activated,-0.062512015,0.31672908
PRAD,T.cells.follicular.helper,0.044566935,0.384091221
PRAD,T.cells.regulatory..Tregs.,0.012857587,0.813321579
PRAD,T.cells.gamma.delta,0.082166521,0.186910192
PRAD,NK.cells.resting,0.007948824,0.89543906
