"","TCGA_subtype","immune_cell_type","tau","pvalue"
"89","COAD","Neutrophils","-0.016400168207716","0.797544621707609"
"90","HNSC","B.cells.naive","0.0867108946737958","0.0321714720751834"
"91","HNSC","B.cells.memory","-0.0839771825133836","0.0512847475051278"
"92","HNSC","Plasma.cells","0.0319990937685718","0.413668822650538"
"93","HNSC","T.cells.CD8","0.0050278122195015","0.897192664831511"
"94","HNSC","T.cells.CD4.naive","-0.0551727149347986","0.23429754402343"
"95","HNSC","T.cells.CD4.memory.resting","-0.0131491963436142","0.739929983161015"
"96","HNSC","T.cells.CD4.memory.activated","0.100416042207344","0.0190671176168662"
"97","HNSC","T.cells.follicular.helper","0.0266867621468016","0.493526214301055"
"98","HNSC","T.cells.regulatory..Tregs.","0.0131274016752796","0.741551092512232"
"99","HNSC","T.cells.gamma.delta","0.0082158894448793","0.861755196848205"
"100","HNSC","NK.cells.resting","0.0412547123883064","0.303408175410056"
"101","HNSC","NK.cells.activated","-0.0752590893805981","0.0638801251417046"
"102","HNSC","Monocytes","0.0137724397381745","0.733659998981642"
"103","HNSC","Macrophages.M0","0.0159939343993892","0.682219016770117"
"104","HNSC","Macrophages.M1","0.0104149020504597","0.789300847397468"
"105","HNSC","Macrophages.M2","0.00696150696150696","0.858013037645211"
"106","HNSC","Dendritic.cells.resting","0.0232927860971157","0.562918388482107"
"107","HNSC","Dendritic.cells.activated","-0.0904623758276669","0.0250310457569625"
"108","HNSC","Mast.cells.resting","-0.0034101762780172","0.934890163171846"
"109","HNSC","Mast.cells.activated","-0.00956804157671238","0.816237103317193"
"110","HNSC","Eosinophils","0.0108378229899608","0.816801907891716"
"111","HNSC","Neutrophils","0.0472580810560822","0.260218591615742"
"112","KICH","B.cells.naive","0.0382779501175476","0.842895240768211"
"113","KICH","B.cells.memory","0.122335548368239","0.552549453718307"
"114","KICH","Plasma.cells","0.251234115449394","0.196190143251316"
"115","KICH","T.cells.CD8","0.447619047619048","0.0207906153223614"
"116","KICH","T.cells.CD4.naive","-0.365148371670111","0.105192505120041"
"117","KICH","T.cells.CD4.memory.resting","0.0765559002350953","0.691822511248206"
"118","KICH","T.cells.CD4.memory.activated","NA","NA"
"119","KICH","T.cells.follicular.helper","0.00952380952380952","1"
"120","KICH","T.cells.regulatory..Tregs.","0.049040823861375","0.802506743444439"
"121","KICH","T.cells.gamma.delta","-0.220820978989553","0.305034323453877"
"122","KICH","NK.cells.resting","-0.230288040188009","0.24516655971617"
"123","KICH","NK.cells.activated","-0.0956948752938691","0.620262225569397"
"124","KICH","Monocytes","0.00952380952380952","1"
"125","KICH","Macrophages.M0","0.063887656499994","0.753152364765915"
"126","KICH","Macrophages.M1","0.0857142857142857","0.697181425417371"
"127","KICH","Macrophages.M2","-0.257142857142857","0.201842824225182"
"128","KICH","Dendritic.cells.resting","0.131468439624436","0.553640654927753"
