,NIV1.IPI3,NIV3.NAIVE,NIV3.PROG,time,response_1,response_2
1,-0.0671999936298497,-2.82691571208935,-1.79845060898868,PRE,CR_PR vs PD,SD vs PD
2,-1.6692733520988,0.174122014112337,-0.373478930778903,PRE,CR_PR vs PD,PD vs all responders
3,-1.49379365871839,2.18052949516833,1.9869002756553,PRE,SD vs PD,PD vs all responders
4,0.128219435958408,-0.531214469583306,-1.63795100387965,POST,CR_PR vs PD,SD vs PD
5,-0.688799516229003,-2.15996327781725,-1.96420841494871,POST,CR_PR vs PD,PD vs all responders
6,-0.67734512253811,-1.05264573515891,-0.343744429630726,POST,SD vs PD,PD vs all responders
